id,name,latitude,longitude
30001,Custer Rest Area,48.909127,-122.62203
30002,Bow Rest Area,48.58233,-122.344314
30003,Marysville Rest Area,48.168848,-122.188868
30004,Federal Way Rest Area,47.271133,-122.314556
30005,Rochester Rest Area,46.835349,-122.98525
30006,Castle Rock Rest Area,46.350905,-122.904318
30007,Ridgefield Rest Area,45.77708,-122.669537
30008,Wilsonville Rest Area,45.271126,-122.775426
30009,Albany Rest Area,44.739341,-123.050775
30010,Harrisburg Rest Area,44.235651,-123.059943
30011,Cottage Grove Rest Area,43.849918,-123.020517
30012,Oakland Rest Area,43.46945,-123.315479
30013,Grants Pass Rest Area,42.516749,-123.363436
30014,Ashland Welcome Center,42.167689,-122.652533
30015,Weed Rest Area,41.4765,-122.4544
30016,O'Brien Rest Area,40.7927,-122.3159
30017,Red Bluff Rest Area,40.2499,-122.2605
30018,Corning Rest Area,39.945,-122.1993
30019,Willows Rest Area,39.5909,-122.2091
30020,Maxwell Rest Area,39.2394,-122.1812
30021,Dunnigan Rest Area,38.8901,-121.9771
30022,Westley Rest Area,37.5826,-121.3221
30023,Firebaugh Rest Area,36.8625,-120.7816
30024,Huron Rest Area,36.0878,-120.1126
30025,Buttonwillow Rest Area,35.4169,-119.4212
30026,Lebec Rest Area,34.8259,-118.8724
30027,Oceanside Rest Area,33.2672,-117.4345
30028,Oceanside Welcome Center,33.2028,-117.3841
30029,Dutton Rest Area,47.925072,-111.730722
30030,Wolf Creek Rest Area,47.130879,-111.901624
30031,Jefferson City Rest Area,46.40652,-112.013144
30032,Divide Rest Area,45.83509,-112.68355
30033,Blackfoot Rest Area,43.303162,-112.268878
30034,Malad City Welcome Center,42.100419,-112.215177
30035,Perry Rest Area,41.466987,-112.053217
30036,Paragonah Rest Area,37.980988,-112.735877
30037,Kanarraville Rest Area,37.513416,-113.211325
30038,Nipton Rest Area,35.433773,-115.699281
30039,Barstow Rest Area,35.031739,-116.470046
30040,Rimrock Rest Area,34.672331,-111.772399
30041,Green Valley Rest Area,31.765804,-111.03465
30042,Maxwell Rest Area,36.645321,-104.499445
30043,Watrous Rest Area,35.865508,-104.87944
30044,Santa Fe Rest Area,35.52739,-106.156203
30045,San Acacia Rest Area,34.303206,-106.889679
30046,Socorro Rest Area,33.621285,-107.137666
30047,Rincon Rest Area,32.551062,-106.920562
30048,Abernathy Rest Area,33.935465,-101.853119
30049,Grafton Rest Area,48.458494,-97.193878
30050,Hillsboro Rest Area,47.332975,-97.048016
30051,Hankinson Welcome Center,45.978246,-96.83463
30052,Sergeant Bluff Rest Area,42.374482,-96.352572
30053,Onawa Rest Area,41.993306,-96.109737
30054,Missouri Valley Rest Area,41.5841,-95.941458
30055,Pacific Junction Rest Area,41.079943,-95.825717
30056,Dearborn Rest Area,39.476279,-94.786485
30057,Mahtowa Rest Area,46.559434,-92.59701
30058,Sandstone Rest Area,46.211294,-92.837482
30059,Harris Rest Area,45.599219,-92.993255
30060,Faribault Rest Area,44.450726,-93.289892
30061,Owatonna Rest Area,43.987681,-93.25269
30062,Albert Lea Welcome Center,43.515773,-93.352923
30063,Story City Rest Area,42.128354,-93.553421
30064,Cambridge Rest Area,41.829234,-93.569351
30065,Osceola Rest Area,41.013303,-93.794988
30066,Coffey Rest Area,40.11655,-94.060403
30067,Holt Rest Area,39.474543,-94.310462
30068,Williamsburg Rest Area,38.525126,-95.40579
30069,Matfield Green Service Plaza,38.095343,-96.579539
30070,Towanda Service Plaza,37.766191,-96.981528
30071,Belle Plaine Service Plaza,37.367018,-97.322422
30072,Blackwell Rest Area,36.849766,-97.343348
30073,Thackerville Welcome Center,33.771401,-97.13377
30074,Hillsboro Rest Area,31.917422,-97.096553
30075,Salado Rest Area,30.901848,-97.559389
30076,Natalia Rest Area,29.197162,-98.825974
30077,Cotulla Rest Area,28.324314,-99.274425
30078,Whitsett Rest Area,28.60505,-98.221038
30079,Westfield Rest Area,43.950453,-89.483047
30080,Poynette Rest Area,43.425051,-89.47654
30081,Beloit Welcome Center,42.505442,-88.984351
30082,Paw Paw Rest Area,41.723983,-89.007529
30083,Lomira Rest Area,43.557603,-88.427332
30084,Denmark Rest Area,44.322438,-87.815497
30085,Elkhorn Rest Area,42.722142,-88.462786
30086,Richland Rest Area,31.912206,-96.393706
30087,Huntsville Rest Area,30.783666,-95.658671
30088,Pontiac Rest Area,40.822918,-88.687561
30089,McLean Rest Area,40.359574,-89.109688
30090,Springfield Rest Area,39.864761,-89.595077
30091,Waggoner Rest Area,39.346472,-89.640941
30092,Edwardsville Welcome Center,38.864988,-89.853462
30093,Bloomsdale Rest Area,38.031255,-90.248625
30094,Hayti Welcome Center,36.251159,-89.727813
30095,Memphis Welcome Center,35.041684,-90.004116
30096,Hernando Rest Area,34.77072,-89.963828
30097,Courtland Rest Area,34.248159,-89.925279
30098,West Rest Area,33.186899,-89.837247
30099,Wesson Rest Area,31.76908,-90.433469
30100,Magnolia Welcome Center,31.047459,-90.49535
30101,Monee Welcome Center,41.389327,-87.773357
30102,Loda Rest Area,40.550791,-88.060759
30103,Pesotum Rest Area,39.922023,-88.298584
30104,Effingham Rest Area,39.189944,-88.502994
30105,Salem Rest Area,38.596322,-88.964179
30106,Benton Rest Area,38.030788,-88.924082
30107,Anna Welcome Center,37.466221,-89.132421
30108,Ashville Rest Area,33.85167,-86.306549
30109,Cottondale Rest Area,33.188804,-87.324509
30110,Eutaw Rest Area,32.844447,-87.952683
30111,Cuba Welcome Center,32.449904,-88.396747
30112,Picayune Welcome Center,30.497034,-89.66888
30113,Roselawn Rest Area,41.164793,-87.271158
30114,Wolcott Rest Area,40.698869,-87.062666
30115,Lebanon Rest Area,40.15765,-86.53945
30116,Columbus Rest Area,39.259772,-85.952452
30117,Henryville Rest Area,38.584998,-85.776856
30118,Munfordville Rest Area,37.238408,-85.927595
30119,Franklin Welcome Center,36.643512,-86.569152
30120,Ardmore Welcome Center,35.035228,-86.877811
30121,Cullman Rest Area,34.07464,-86.863925
30122,Clanton Rest Area,32.905048,-86.634013
30123,Greenville Rest Area,31.88306,-86.60805
30124,Castleberry Rest Area,31.338484,-87.10953
30125,Attica Rest Area,43.005871,-83.218271
30126,Swartz Creek Rest Area,42.964065,-83.866279
30127,Potterville Rest Area,42.635096,-84.715872
30128,Coldwater Welcome Center,41.849065,-84.995223
30129,Auburn Rest Area,41.296095,-85.086788
30130,Gaston Rest Area,40.353586,-85.557997
30131,Brunswick Rest Area,41.221648,-81.793004
30132,West Salem Rest Area,40.937373,-82.10319
30133,Columbus Rest Area,40.221541,-82.928686
30134,Jeffersonville Rest Area,39.637917,-83.566959
30135,Lebanon Welcome Center,39.414115,-84.124315
30136,Florence Rest Area,38.937079,-84.631043
30137,Crestwood Rest Area,38.338146,-85.516266
30138,Sault Sainte Marie Rest Area,46.424231,-84.391593
30139,Saint Ignace Welcome Center,45.849935,-84.722402
30140,Topinabee Rest Area,45.503178,-84.614178
30141,Gaylord Rest Area,44.96807,-84.670842
30142,Grayling Rest Area,44.612566,-84.705085
30143,West Branch Rest Area,44.231968,-84.211483
30144,Linwood Rest Area,43.761568,-84.018219
30145,Clio Rest Area,43.156342,-83.761602
30146,Davisburg Rest Area,42.762934,-83.510159
30147,Monroe Welcome Center,41.863542,-83.404674
30148,Bowling Green Welcome Center,41.34056,-83.623914
30149,Findlay Rest Area,40.9849,-83.712088
30150,Wapakoneta Rest Area,40.598575,-84.1574
30151,Piqua Rest Area,40.127944,-84.214563
30152,Monroe Welcome Center,39.416934,-84.348534
30153,Florence Rest Area,38.937079,-84.631043
30154,Georgetown Rest Area,38.248098,-84.545917
30155,Williamsburg Welcome Center,36.616117,-84.105655
30156,Athens Rest Area,35.426569,-84.687728
30157,Chattanooga Welcome Center,34.995953,-85.206775
30158,Adairsville Rest Area,34.408657,-84.917606
30159,Vienna Rest Area,32.07357,-83.761968
30160,Ashburn Rest Area,31.750751,-83.661638
30161,Lenox Rest Area,31.243311,-83.465335
30162,Valdosta Welcome Center,30.665664,-83.208856
30163,Lake City Rest Area,29.977347,-82.577234
30164,Micanopy Rest Area,29.590723,-82.361701
30165,Ocala Rest Area,29.093012,-82.183815
30166,Bushnell Rest Area,28.584109,-82.212334
30167,Wesley Chapel Rest Area,28.216322,-82.368528
30168,Ruskin Rest Area,27.682648,-82.420805
30169,Immokalee Rest Area,26.167499,-81.078477
30170,Weston Rest Area,26.145477,-80.626879
30171,Bath Rest Area,41.194726,-81.624743
30172,Buffalo Rest Area,39.940783,-81.53234
30173,Marietta Welcome Center,39.452138,-81.438135
30174,Mineral Wells Rest Area,39.131313,-81.546988
30175,Burnwell Service Plaza,38.102062,-81.383082
30176,Princeton Service Plaza,37.474675,-81.068101
30177,Rocky Gap Rest Area,37.185155,-81.129047
30178,Lambsburg Welcome Center,36.564024,-80.743222
30179,Charlotte Welcome Center,35.122529,-80.916249
30180,Richburg Rest Area,34.763714,-81.035825
30181,Edinboro Rest Area,41.842327,-80.174899
30182,Sheakleyville Rest Area,41.455467,-80.161721
30183,Grove City Rest Area,41.070504,-80.124154
30184,Bridgeville Rest Area,40.331662,-80.137175
30185,Mount Morris Welcome Center,39.796245,-80.076218
30186,Bridgeport Rest Area,39.31413,-80.250019
30187,Burnsville Rest Area,38.912078,-80.592336
30188,Frametown Rest Area,38.619057,-80.90025
30189,La Fargeville Rest Area,44.243223,-75.943328
30190,Preble Rest Area,42.715436,-76.145797
30191,Kirkwood Welcome Center,42.020172,-75.780058
30192,Fleetville Rest Area,41.60335,-75.64678
30193,Dorrance Rest Area,41.102023,-75.960107
30194,Grantville Rest Area,40.373276,-76.676612
30195,Carlisle Rest Area,40.132396,-77.342056
30196,Greencastle Welcome Center,39.736302,-77.726212
30197,Inwood Welcome Center,39.320941,-78.071003
30198,New Market Rest Area,38.614106,-78.705976
30199,Mount Sydney Rest Area,38.250116,-78.954448
30200,Elliston Rest Area,37.239516,-80.22455
30201,Radford Rest Area,37.098141,-80.523584
30202,Rural Retreat Rest Area,36.916479,-81.264249
30203,Abingdon Rest Area,36.684211,-82.029762
30204,Bristol Welcome Center,36.596584,-82.23951
30205,Baileyton Rest Area,36.336684,-82.805028
30206,Shrewsbury Welcome Center,39.752837,-76.661693
30207,Dinwiddie Rest Area,37.100551,-77.543583
30208,Alberta Rest Area,36.863056,-77.838245
30209,Bracey Welcome Center,36.553918,-78.179688
30210,Oxford Rest Area,36.235703,-78.637954
30211,Burlington Rest Area,36.062554,-79.535181
30212,Thomasville Rest Area,35.840493,-80.134021
30213,Concord Rest Area,35.451025,-80.594294
30214,Grover Welcome Center,35.183319,-81.407285
30215,Anderson Rest Area,34.565927,-82.740894
30216,Fair Play Welcome Center,34.487319,-83.023006
30217,West Point Welcome Center,32.859667,-85.172333
30218,Tuskegee Rest Area,32.497942,-85.613355
30219,West Chazy Rest Area,44.805386,-73.443363
30220,Peru Rest Area,44.604422,-73.491152
30221,North Hudson Rest Area,44.01376,-73.705177
30222,Glens Falls Rest Area,43.272641,-73.674259
30223,Clifton Park Rest Area,42.877292,-73.777094
30224,New Baltimore Service Plaza,42.428249,-73.806015
30225,Saugerties Service Plaza,42.110567,-73.956692
30226,Newburgh Service Plaza,41.577525,-74.085269
30227,Suffern Service Plaza,41.151262,-74.18827
30228,Ardsley Service Plaza,40.984889,-73.852685
30229,Georgia Rest Area,44.746569,-73.077928
30230,Williston Rest Area,44.436176,-73.078755
30231,Sharon Welcome Center,43.72735,-72.425671
30232,Springfield Rest Area,43.467943,-72.101899
30233,Bradford Rest Area,44.015831,-72.120303
30234,Brattleboro Welcome Center,42.812221,-72.566439
30235,Middletown Rest Area,41.553891,-72.742464
30236,Waterford Welcome Center,44.361016,-71.89788
30237,Tilton Rest Area,43.372068,-71.608445
30238,Hooksett Service Plaza,43.110397,-71.475699
30239,Salem Welcome Center,42.755102,-71.220623
30240,Medway Rest Area,45.596219,-68.535083
30241,Hampden Welcome Center,44.7655,-68.9364
30242,Gardiner Service Plaza,44.2089,-69.8282
30243,Cumberland Center Service Plaza,43.824536,-70.32026
30244,Kennebunk Service Plaza,43.410434,-70.558459
30245,Kittery Welcome Center,43.128289,-70.717253
30246,Seabrook Welcome Center,42.88463,-70.880812
30247,Lexington Service Plaza,42.440235,-71.257613
30248,Madison Service Plaza,41.291508,-72.580151
30249,Branford Service Plaza,41.285531,-72.8339
30250,Milford Service Plaza,41.246523,-73.008602
30251,Fairfield Service Plaza,41.146584,-73.25595
30252,Darien Service Plaza,41.080712,-73.461226
30253,Ridgefield Service Plaza,40.822894,-74.029814
30254,Woodbridge Service Plaza,40.557065,-74.263362
30255,East Brunswick Service Plaza,40.417015,-74.444047
30256,Linwood Welcome Center,39.823919,-75.437495
30257,Newark Service Plaza,39.662352,-75.690957
30258,Perryville Service Plaza,39.6096,-76.0117
30259,Aberdeen Service Plaza,39.4953,-76.2337
30260,Savage Welcome Center,39.1394,-76.8465
30261,Dale City Rest Area,38.619398,-77.296425
30262,Dale City Rest Area,38.599309,-77.312633
30263,Ladysmith Rest Area,37.980759,-77.492101
30264,Carson Rest Area,37.015332,-77.390557
30265,Skippers Welcome Center,36.546834,-77.575212
30266,Dortches Rest Area,36.025508,-77.847617
30267,Selma Rest Area,35.536261,-78.25213
30268,Fayetteville Rest Area,34.996513,-78.827491
30269,Rowland Welcome Center,34.5382,-79.235579
30270,Shiloh Rest Area,33.947477,-80.05624
30271,Santee Rest Area,33.495824,-80.463818
30272,Walterboro Rest Area,32.801577,-80.770475
30273,Hardeeville Welcome Center,32.266495,-81.086667
30274,Saint Marys Welcome Center,30.753754,-81.650138
30275,Jacksonville Rest Area,30.091276,-81.496922
30276,Saint Augustine Rest Area,29.702069,-81.326915
30277,Mims Rest Area,28.686794,-80.877453
30278,Malabar Rest Area,27.933804,-80.603712
30279,Fort Pierce Rest Area,27.466034,-80.417707
30280,Palm City Rest Area,27.128097,-80.332953
30281,Wildwood Service Plaza,28.786799,-81.982224
30282,Orlando Service Plaza,28.514581,-81.499256
30283,Saint Cloud Service Plaza,28.094541,-81.273955
30284,Okeechobee Service Plaza,27.601898,-80.822887
30285,Port St. Lucie Service Plaza,27.302792,-80.373068
30286,West Palm Beach Service Plaza,26.63446,-80.174811
30287,Pompano Beach Service Plaza,26.226452,-80.182833
30288,Miami Service Plaza,25.661689,-80.387002
30289,Ridgefield Service Plaza,40.822829,-74.029751
30290,Woodbridge Service Plaza,40.556974,-74.26327
30291,East Brunswick Service Plaza,40.416753,-74.444031
30292,Hamilton Service Plaza,40.176229,-74.628715
30293,Mt. Laurel Service Plaza,39.980904,-74.888496
30294,Oldmans Service Plaza,39.695823,-75.396298
30295,McPherson Rest Area,38.481792,-97.620076
30296,Sedgwick Rest Area,37.931331,-97.326974
30297,Richfield Rest Area,41.208144,-81.668535
30298,Saint Petersburg Rest Area,27.648418,-82.675581
30299,Terra Ceia Rest Area,27.584602,-82.61415
30300,Burlingame Rest Area,37.539245,-122.364294
30301,South Holland Service Plaza,41.579603,-87.59915
30302,Deepwater Welcome Center,39.686374,-75.474977
30303,Emporia Service Plaza,38.471138,-96.184719
30304,Cedar Rapids Rest Area,41.867932,-91.668332
30305,Laurens Rest Area,34.542551,-81.967946
30306,Groveland Rest Area,42.727662,-77.829165
30307,Plainfield Service Plaza,41.754048,-71.877036
30308,Macon Rest Area,32.86706,-83.753857
30309,Albrightsville Service Plaza,40.970729,-75.631087
30310,Allentown Service Plaza,40.574702,-75.558077
30311,Chelmsford Rest Area,42.595996,-71.368194
30312,Brewster Rest Area,41.36181,-73.631109
30313,Custer Rest Area,48.926668,-122.646182
30314,Bow Rest Area,48.584669,-122.346532
30315,Marysville Rest Area,48.169107,-122.194277
30316,Everett Rest Area,47.902451,-122.215572
30317,Maytown Rest Area,46.871095,-122.970358
30318,Castle Rock Rest Area,46.35233,-122.907977
30319,Ridgefield Rest Area,45.799147,-122.680607
30320,Wilsonville Rest Area,45.274463,-122.7756
30321,Albany Rest Area,44.740724,-123.05358
30322,Harrisburg Rest Area,44.237583,-123.061589
30323,Cottage Grove Rest Area,43.852084,-123.021492
30324,Oakland Rest Area,43.47651,-123.320564
30325,Grants Pass Rest Area,42.517351,-123.365086
30326,Talent Rest Area,42.255924,-122.7877
30327,Weed Rest Area,41.4784,-122.457
30328,Lakehead Rest Area,40.919,-122.3989
30329,Red Bluff Rest Area,40.2712,-122.2706
30330,Corning Rest Area,39.9488,-122.2012
30331,Willows Rest Area,39.594,-122.2095
30332,Maxwell Rest Area,39.2428,-122.1824
30333,Dunnigan Rest Area,38.8941,-121.98
30334,Sacramento Rest Area,38.6724,-121.6139
30335,Westley Rest Area,37.5824,-121.3238
30336,Firebaugh Rest Area,36.8642,-120.784
30337,Huron Rest Area,36.0912,-120.1171
30338,Buttonwillow Rest Area,35.4189,-119.4254
30339,Lebec Rest Area,34.8292,-118.8708
30340,Oceanside Rest Area,33.2744,-117.4445
30341,Oceanside Welcome Center,33.2028,-117.3841
30342,Dutton Rest Area,47.924837,-111.735268
30343,Wolf Creek Rest Area,47.132395,-111.901408
30344,Jefferson City Rest Area,46.415611,-112.006449
30345,Divide Rest Area,45.836458,-112.686018
30346,Blackfoot Rest Area,43.305363,-112.27037
30347,Downey Rest Area,42.352385,-112.225383
30348,Brigham City Welcome Center,41.552389,-112.07043
30349,Paragonah Rest Area,37.981916,-112.738165
30350,Kanarraville Rest Area,37.516713,-113.212399
30351,Nipton Rest Area,35.435629,-115.701915
30352,Barstow Rest Area,35.034647,-116.470658
30353,Rimrock Rest Area,34.674136,-111.772606
30354,Green Valley Rest Area,31.770859,-111.034488
30355,Maxwell Rest Area,36.649918,-104.500689
30356,Watrous Rest Area,35.877993,-104.859021
30357,San Acacia Rest Area,34.305562,-106.890574
30358,Socorro Rest Area,33.622598,-107.138825
30359,Rincon Rest Area,32.552423,-106.923491
30360,Abernathy Rest Area,33.934064,-101.854262
30361,Grafton Rest Area,48.458494,-97.193878
30362,Hillsboro Rest Area,47.331725,-97.051115
30363,New Effington Welcome Center,45.907799,-96.864056
30364,Sergeant Bluff Welcome Center,42.375155,-96.355137
30365,Onawa Rest Area,41.992628,-96.111476
30366,Missouri Valley Rest Area,41.591667,-95.953503
30367,Pacific Junction Rest Area,41.081965,-95.829193
30368,Rock Port Welcome Center,40.394338,-95.549658
30369,Dearborn Rest Area,39.476237,-94.788202
30370,Willow River Rest Area,46.356788,-92.806111
30371,Forest Lake Rest Area,45.270241,-93.009298
30372,Elko Rest Area,44.551096,-93.300808
30373,Owatonna Rest Area,43.986338,-93.257615
30374,Story City Rest Area,42.110241,-93.556806
30375,Cambridge Rest Area,41.832551,-93.572677
30376,Osceola Rest Area,41.013664,-93.797108
30377,Eagleville Welcome Center,40.550495,-93.954903
30378,Coffey Rest Area,40.116771,-94.062316
30379,Holt Rest Area,39.482708,-94.307573
30380,Williamsburg Rest Area,38.527325,-95.405682
30381,Matfield Green Service Plaza,38.095343,-96.579539
30382,Towanda Service Plaza,37.766191,-96.981528
30383,Belle Plaine Service Plaza,37.367018,-97.322422
30384,Blackwell Welcome Center,36.850038,-97.345798
30385,Gainesville Welcome Center,33.693346,-97.163041
30386,Hillsboro Rest Area,31.926064,-97.103001
30387,Salado Rest Area,30.913014,-97.5525
30388,Natalia Rest Area,29.199036,-98.824765
30389,Cotulla Rest Area,28.324172,-99.276592
30390,Whitsett Rest Area,28.649351,-98.242604
30391,Coloma Rest Area,43.977697,-89.501957
30392,Poynette Rest Area,43.428869,-89.483297
30393,Janesville Rest Area,42.768654,-89.006713
30394,South Beloit Welcome Center,42.480351,-88.997208
30395,Paw Paw Rest Area,41.727615,-89.011294
30396,Lomira Rest Area,43.561315,-88.431479
30397,Denmark Rest Area,44.318123,-87.815171
30398,Elkhorn Rest Area,42.733357,-88.460941
30399,Richland Rest Area,31.911008,-96.396316
30400,Huntsville Rest Area,30.781106,-95.660652
30401,Pontiac Rest Area,40.837205,-88.682977
30402,McLean Rest Area,40.359574,-89.109688
30403,Sherman Rest Area,39.887194,-89.596775
30404,Waggoner Rest Area,39.352053,-89.644478
30405,Edwardsville Rest Area,38.872308,-89.851252
30406,Jackson Rest Area,37.491184,-89.673714
30407,Marston Rest Area,36.538093,-89.594151
30408,Blytheville Welcome Center,35.942114,-89.875249
30409,Hernando Welcome Center,34.806646,-89.970364
30410,Courtland Rest Area,34.253686,-89.928086
30411,Vaiden Rest Area,33.305258,-89.784028
30412,Wesson Rest Area,31.771082,-90.434894
30413,Kentwood Welcome Center,30.983276,-90.509794
30414,Monee Welcome Center,41.391672,-87.774531
30415,Loda Rest Area,40.561054,-88.061108
30416,Pesotum Rest Area,39.931331,-88.304684
30417,Effingham Rest Area,39.199069,-88.50173
30418,Salem Rest Area,38.596393,-88.967274
30419,Whittington Rest Area,38.094853,-88.913633
30420,Anna Rest Area,37.46924,-89.133393
30421,Valley Head Welcome Center,34.707879,-85.560415
30422,Ashville Rest Area,33.873184,-86.2715
30423,Cottondale Rest Area,33.190672,-87.325045
30424,Eutaw Rest Area,32.857756,-87.940912
30425,Toomsuba Welcome Center,32.411098,-88.534524
30426,Pearl River Welcome Center,30.322244,-89.738452
30427,Roselawn Rest Area,41.167215,-87.274723
30428,Wolcott Rest Area,40.698762,-87.064619
30429,Lebanon Rest Area,40.17247,-86.552446
30430,Columbus Rest Area,39.277381,-85.957001
30431,Henryville Rest Area,38.586013,-85.780837
30432,Shepherdsville Welcome Center,37.946615,-85.690068
30433,Munfordville Rest Area,37.238903,-85.929052
30434,Mitchellville Welcome Center,36.63555,-86.573105
30435,Ardmore Welcome Center,34.953845,-86.892363
30436,Cullman Rest Area,34.07464,-86.863925
30437,Clanton Rest Area,32.906799,-86.637904
30438,Greenville Rest Area,31.884572,-86.610024
30439,Evergreen Rest Area,31.372303,-87.051415
30440,Port Huron Welcome Center,42.988911,-82.474104
30441,Capac Rest Area,42.993302,-82.957113
30442,Woodbury Rest Area,42.81173,-84.306649
30443,Marshall Rest Area,42.329176,-84.992149
30444,Angola Welcome Center,41.580325,-85.059689
30445,Gaston Rest Area,40.357633,-85.559666
30446,Brunswick Rest Area,41.210051,-81.794148
30447,West Salem Rest Area,40.940208,-82.09996
30448,Columbus Rest Area,40.226689,-82.929916
30449,Jeffersonville Rest Area,39.636794,-83.573522
30450,Lebanon Welcome Center,39.415844,-84.122576
30451,Florence Rest Area,38.938889,-84.633656
30452,Crestwood Rest Area,38.339438,-85.517903
30453,Saint Ignace Rest Area,45.883188,-84.744841
30454,Hebron Rest Area,45.657113,-84.637448
30455,Vanderbilt Rest Area,45.106542,-84.689484
30456,Grayling Rest Area,44.750531,-84.7098
30457,Roscommon Rest Area,44.394063,-84.601332
30458,Alger Rest Area,44.11224,-84.120111
30459,Bay City Rest Area,43.528194,-83.943773
30460,Clio Rest Area,43.157867,-83.767123
30461,Clarkston Rest Area,42.743036,-83.485859
30462,Bowling Green Welcome Center,41.335665,-83.627269
30463,Findlay Rest Area,40.986524,-83.71372
30464,Wapakoneta Rest Area,40.600089,-84.15875
30465,Piqua Rest Area,40.13285,-84.216817
30466,Monroe Rest Area,39.420341,-84.349339
30467,Florence Rest Area,38.938889,-84.633656
30468,Georgetown Rest Area,38.250205,-84.549088
30469,Jellico Welcome Center,36.588393,-84.106206
30470,Athens Rest Area,35.429341,-84.689262
30471,Ringgold Welcome Center,34.94872,-85.176744
30472,Calhoun Rest Area,34.563301,-84.944299
30473,Forsyth Rest Area,32.97215,-83.827789
30474,Pinehurst Rest Area,32.209904,-83.747337
30475,Sycamore Rest Area,31.634255,-83.584301
30476,Lenox Rest Area,31.260952,-83.471464
30477,Jennings Welcome Center,30.612739,-83.146883
30478,Lake City Rest Area,29.979032,-82.579862
30479,Micanopy Rest Area,29.589645,-82.363834
30480,Ocala Rest Area,29.09586,-82.186145
30481,Bushnell Rest Area,28.587728,-82.211777
30482,Wesley Chapel Rest Area,28.213721,-82.373503
30483,Ruskin Rest Area,27.6925,-82.420664
30484,Immokalee Rest Area,26.167499,-81.078477
30485,Weston Rest Area,26.145477,-80.626879
30486,Bath Rest Area,41.195625,-81.626491
